,Institute,Internationality(0.9>rho>0.101),Csrankings,QSranking
61,Mae Fah Luang University,0.8350044633588148,0,
71,Hanoi University of Science & Technology,0.8068291176754875,0,1001
53,Keele University,0.7577915393070261,0,
41,University of Gothenburg,0.7453788655877472,0,202
67,Eastern Mediterranean University,0.7387377877631861,0,
57,University of Sharjah,0.7291666666833326,0,
69,Benha University,0.7189054573748191,0,
73,Atilim University,0.7134195651145012,0,
7,University of Zurich,0.7055024995318512,118,69
50,University of Peradeniya,0.7034028320993398,0,
11,University of Helsinki,0.7030546238410174,118,104
23,University of Vienna,0.6956367771351093,176,150
15,University of Birmingham,0.6853928024575655,118,87
48,University of Lausanne,0.6794983159910393,0,
70,University of Baghdad,0.6769028205024403,0,
13,Uppsala University,0.6732386524749564,176,124
4,Humboldt University of Berlin,0.6715869797356948,322,117
33,Trinity College Dublin,0.6665586189113818,0,101
19,Maastricht University,0.6657378297403923,0,234
74,Universite de Bejaia,0.6603731481421211,0,
29,University of Sussex,0.6519402961264354,176,246
36,University of Aberdeen,0.6506571971495851,322,207
3,University of Groningen,0.6436781867791458,322,128
22,Durham University,0.6398199845676639,176,86
16,University of Bern,0.6394532421528296,322,114
31,University of Mannheim,0.6374621088372365,176,228
42,University of Munster,0.6328785940430601,0,
14,Queen Mary University London,0.6318575991275216,0,114
24,University of Cape Town,0.6298645462582276,322,220
63,Beni Suef University,0.6266194206269295,0,
35,University of Leicester,0.6231986808754894,0,242
46,University of Witwatersrand,0.6214746948907354,0,
39,Stockholm University,0.6153621655623447,0,181
65,Tezpur University,0.6147605535823296,0,
43,University of East Anglia,0.608507641772228,0,
54,University of Tunku Abdul Rahman,0.5994627765080026,0,
66,Szeged University,0.5954923626583123,0,
30,University of Hamburg,0.5941611936699397,176,228
27,University of Geneva,0.592258943002098,0,106
49,University of St Andrews,0.5907747090933424,322,
20,Radboud University Nijmegen,0.5902996817325211,0,214
40,University of California Santa Cruz,0.5858110526776501,0,
21,University of Western Australia,0.5850713340802797,176,92
60,Imam Khomeini International University,0.5842263540884967,0,
6,University of Freiburg,0.5838145729559566,118,
34,University of Bielefeld,0.5827680081054539,0,801-1000
72,University of Puerto Rico,0.5809016284977567,0,
45,University of Duisburg Essen,0.5779502653694667,0,751-800
28,University of Exeter,0.5776081288711962,322,164
51,Karabuk University,0.5729124386098913,0,
9,University of Basel,0.5726900602003651,0,149
10,Dartmouth College,0.5713672102675121,118,203
26,Ulm University,0.5701090396969609,0,344
58,University of Malaysia Perlis,0.5584842774219727,0,
5,Emory University,0.5578792916224135,176,158
8,Eberhard Karls University of Tubingen,0.5559595342436207,0,301-350
12,Georgetown University,0.5424555258264608,176,230
2,Boston University,0.5349055836912644,57,110
1,Brown University,0.5268863932441133,83,60
18,University of Gottingen,0.5256210273942742,0,
17,Case Western Reserve University,0.5240495201714102,176,162
0,Yale University,0.511685856563126,57,46
38,University of Rochester,0.5102333489264128,118,165
44,University of Canberra,0.505268224915052,0,456
47,George Washington University,0.4975508992223603,176,
62,Jamia Millia Islamia,0.4570385521976485,0,
25,Tufts University,0.4528697103610855,176,260
59,King Khalid University,0.4515944971904488,0,
32,University of Wurzburg,0.4334169541927934,0,
37,University of Alabama Birmingham,0.4242466854002571,0,
68,Tshwane University of Technology,0.3272093863030697,0,
56,Creighton University,0.21081375527157212,0,
52,Suez University,0.09567434404484014,0,
64,Kafrelsheikh University,0.09077613239195699,0,
55,University of Ibadan,1.050923359267518e-05,0,
