Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0),0.1>rho>0.001,Internationality(0.1>rho>0.001),0.99>rho>0.9,Internationality(0.99>rho>0.9),0.9>rho>0.101,Internationality(0.9>rho>0.101),rho>1,Internationality(rho>1)
Yale University,139,38,2698,1122,0.4474134631,0.5841363973,8,0.00041255531736328344,0.5112263735891119,0.001052236344922769,0.5112292801245785,0.9000042653372725,0.5153203902920003,0.10149523029475915,0.511685856563126,933144.3957185618,0.0
Brown University,113,32,2381,1027,0.4878838931,0.5686686266,53,0.000566428468525837,0.5267306577157086,0.0010267871213390225,0.5267313693036613,0.9000264241110003,0.5281217073401758,0.10130502903548111,0.5268863932441133,769854.100458762,0.0
Boston University,135,37,4170,1740,0.49063601869999995,0.5827338129,61,0.0004142572450223092,0.5347065309066228,0.0010050221759755062,0.5347076994335781,0.9000706571253472,0.5364872229198746,0.10103079614860999,0.5349055836912644,570483.830809185,0.0
University of Groningen,108,31,1901,308,0.49084515310000004,0.8379800104999999,73,0.0006028838951270821,0.6413549425513744,0.001043888674679777,0.6413650570510663,0.9000878473973403,0.6621172338532106,0.10172954071381513,0.6436781867791458,441097.6560363154,0.0
Humboldt University of Berlin,113,29,2930,697,0.5908436531,0.762116041,74,0.0009827209564448047,0.6710429150663064,0.0010062115585484643,0.6710430427371463,0.9000016020526642,0.6759361559000858,0.10104928808590996,0.6715869797356948,998569.1673606583,0.0
Emory University,62,15,1542,678,0.5554567900999999,0.560311284,80,0.00037808103280445593,0.5578787587773717,0.001036777891845489,0.5578787622554138,0.900001854150187,0.5578835090334843,0.10129068616150186,0.5578792916224135,335403.89392421255,0.0
University of Freiburg,107,24,2428,656,0.4646057237,0.7298187809000001,86,6.554585701090687e-06,0.5823041268920351,0.0010404465737312843,0.5823194752595546,0.9000089907644284,0.5957260840225245,0.10163124846169658,0.5838145729559566,577459.79798114,0.0
University of Zurich,92,40,1652,220,0.5716947328,0.8668280872,90,0.0006882919397809828,0.7039714664500116,0.0010309539378639812,0.7039766905426196,0.900037501227895,0.7177358853192569,0.10101154918102828,0.7055024995318512,329433.46745771286,0.0
Eberhard Karls University of Tubingen,95,40,281,110,0.5074962699000001,0.6085409253,91,0.00033721809025411,0.5557275484104903,0.001245809551618765,0.5557296293172277,0.9000296603957887,0.5577895965804087,0.10161027039541004,0.5559595342436207,972585.3970257837,0.0
University of Basel,36,19,522,103,0.4037449775,0.8026819923,94,0.0010703155379609974,0.569315179801348,0.0010566469693480407,0.5693147204758034,0.9000498421040345,0.5998452886203789,0.10122357345905098,0.5726900602003651,428646.3626082313,0.0
Dartmouth College,77,17,1552,483,0.4722488996,0.6887886598,94,0.0001500085534762441,0.5703344846498734,0.0010473160425196878,0.5703435974815251,0.9000111320653233,0.5795024740182261,0.1017538623882509,0.5713672102675121,643667.3349682175,0.0
University of Helsinki,115,52,2778,356,0.5642211965,0.871850252,96,0.0012738247456463084,0.7013886650195292,0.0010718234801141424,0.7013853111797198,0.9000171110047989,0.7163738837782212,0.10150330471584235,0.7030546238410174,138196.8425878728,0.0
Georgetown University,22,3,212,96,0.5377777778,0.5471698113,102,5.684960499130476e-05,0.5424534693903306,0.001022744585154986,0.5424534890234898,0.9001022787154909,0.542471764006581,0.10122841690478523,0.5424555258264608,664435.6630884008,0.0
