Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,0.9>rho>0.101,Internationality(0.9>rho>0.101)
Yale University,139,38,2698,1122,0.4474134631,0.5841363973,8,0.10216853746952759,0.5689507708028098
Brown University,113,32,2381,1027,0.4878838931,0.5686686266,53,0.10123766959242197,0.5600815247540607
Boston University,135,37,4170,1740,0.49063601869999995,0.5827338129,61,0.10137772201044906,0.5728718732358107
University of Groningen,108,31,1901,308,0.49084515310000004,0.8379800104999999,73,0.10119926937004653,0.7953576107004302
Humboldt University of Berlin,113,29,2930,697,0.5908436531,0.762116041,74,0.10125495552532193,0.7431792756035882
Emory University,62,15,1542,678,0.5554567900999999,0.560311284,80,0.10290706314443743,0.5598241277563861
University of Freiburg,107,24,2428,656,0.4646057237,0.7298187809000001,86,0.10115866993157785,0.6982328999987998
University of Zurich,92,40,1652,220,0.5716947328,0.8668280872,90,0.10144758441798418,0.8321387466305479
Eberhard Karls University of Tubingen,95,40,281,110,0.5074962699000001,0.6085409253,91,0.10108111586769608,0.5976802547764488
University of Basel,36,19,522,103,0.4037449775,0.8026819923,94,0.10152287569916041,0.7509647149874114
Dartmouth College,77,17,1552,483,0.4722488996,0.6887886598,94,0.1015028979366559,0.6637036343693049
University of Helsinki,115,52,2778,356,0.5642211965,0.871850252,96,0.10112862939064526,0.8354347935647378
Georgetown University,22,3,212,96,0.5377777778,0.5471698113,102,0.10110237492588336,0.5462240181584564
Uppsala University,102,38,5070,379,0.484691615,0.9252465483,102,0.10142556675227676,0.8689454711924737
Queen Mary University London,85,38,3018,462,0.46719743700000005,0.8469184891,110,0.10159371112834681,0.7992797908553285
University of Birmingham,145,53,4034,712,0.5684712516,0.8235002479000001,112,0.10178769043239844,0.7940332906935483
University of Bern,63,19,1922,290,0.4775185428,0.8491155047,113,0.10103035925934001,0.8028108081235815
Case Western Reserve University,72,11,1268,566,0.4958996212,0.5536277603,119,0.10107730241922108,0.547594822543741
University of Gottingen,64,25,1491,365,0.3608238379,0.7551978537999999,125,0.10146552790915864,0.703144441587781
Maastricht University,47,19,958,140,0.5157405860000001,0.8538622129000001,127,0.10142621030266774,0.8128102426635372
Radboud University Nijmegen,104,37,1842,342,0.42329532659999997,0.8143322476,128,0.10102423630862645,0.7642162864253785
University of Western Australia,98,38,2636,460,0.40955964170000003,0.8254931715,131,0.10126983014127278,0.7713081272638457
Durham University,91,48,2282,548,0.5371087992,0.7598597720999999,133,0.10166737447602181,0.734350248875228
University of Vienna,98,54,1483,257,0.5835490372,0.8267026298000001,134,0.10113482850033584,0.7988397734982754
University of Cape Town,45,15,582,95,0.4701238462,0.8367697595,136,0.10114883363325888,0.7910675693558697
